feature,importance
deposit_sum,25.819588937385326
gaming_NGR,17.765064972026604
net_position,14.600410876044972
birth_year,7.224862664512014
gaming_turnover_sum,5.561417860509757
avg_gaming_bet,5.345747798092757
gaming_turnover_num,4.912935716360345
avg_bet_size,4.585307422449755
withdrawal_sum,2.0939859090843753
deposit_frequency,1.908176254791704
deposit_withdrawal_ratio,1.6750807579904945
gaming_ratio,1.6295706703385155
login_num,1.4749338783789563
betting_turnover_sum,1.424930581493008
withdrawal_ratio,1.2418314679726803
deposit_num,0.8450944786076237
betting_turnover_num,0.6524933056875546
betting_NGR,0.47700145945129413
avg_betting_bet,0.4116280849366059
withdrawal_num,0.3499369038856414
